site,domain_name,chat_gpt_score,gemini_score,gemini_version
https://www.nlm.nih.gov/web_policies.html,National Library of Medicine,54,31,gemini_2.0_flash
https://niddk.nih.gov/privacy-policy,National Institute of Diabetes and Digestive and Kidney Diseases,48,31,gemini_2.0_flash
https://mayoclinic.org/about-this-site/privacy-policy,MayoClinic,66,62,gemini_2.0_flash
https://foundation.wikimedia.org/wiki/Policy:Privacy_policy,Wikimedia,58,52,gemini_2.0_flash
https://betterhealth.vic.gov.au/about/privacy,Betterhealth,44,52,gemini_2.0_flash
https://www.healthdirect.gov.au/privacy-policy-public,Health Direact Au,68,37,gemini_2.0_flash
https://www.diabetesaustralia.com.au/privacy-policy/,Diabetes Australia,13,38,gemini_2.0_flash
https://who.int/about/policies/privacy,World Health Organization,29,31,gemini_2.0_flash
https://aihw.gov.au/about-us/privacy-policy,Aus Institute of Health and Wellfare,32,38,gemini_2.0_flash
https://my.clevelandclinic.org/about/website/privacy-security,Clevelend Clinic,60,39,gemini_2.0_flash
https://health.gov.au/using-our-websites/website-privacy-policy,Australian Governemt of Health and Age Care,60,38,gemini_2.0_flash
https://abs.gov.au/website-privacy-copyright-and-disclaimer#copyright-and-creative-commons,Australian Bureau of Statistics,26,31,gemini_2.0_flash
https://diabetesvic.org.au/privacy-policy/,Diabeter Victoria,54,38,gemini_2.0_flash
https://www.ndss.com.au/privacy-policy/,National Diabetes Services Scheme,52,38,gemini_2.0_flash
https://idf.org/privacy-policy/,International Diabetes Federation,53,36,gemini_2.0_flash
https://www.healthline.com/privacy-policy,Healthline,64,64,gemini_2.0_flash
https://diabetes.org/about-us/policies/privacy-policy,ADA,58,64,gemini_2.0_flash
https://www.victorchang.edu.au/privacy-policy,Victor Chang Cardiac Research Institute,55,64,gemini_2.0_flash
https://www.nlm.nih.gov/web_policies.html?_ga=2.126497098.695772685.1743254073-1072980819.1743254073&_gl=1*1sczq1x*_ga*MTA3Mjk4MDgxOS4xNzQzMjU0MDcz*_ga_P1FPTH9PL4*MTc0MzI1NDA3My4xLjAuMTc0MzI1NDA3My4wLjAuMA..*_ga_7147EPK006*MTc0MzI1NDA3My4xLjAuMTc0MzI1NDA3My4wLjAuMA..,National Library of Medicine,63,64,gemini_2.0_flash
https://www.cdc.gov/other/privacy.html,CDC,58,64,gemini_2.0_flash
https://baker.edu.au/privacy-policy,Baker Institute,60,61,gemini_2.0_flash
https://www.england.nhs.uk/privacy-policy/,NHS England,39,61,gemini_2.0_flash
https://111.nhs.uk/Help/Privacy,NHS 111,55,61,gemini_2.0_flash
https://www.gov.uk/help/privacy-notice,GOV.UK,50,59,gemini_2.0_flash
https://ebsco.com/company/privacy-policy,EBSCO,62,60,gemini_2.0_flash
https://www.medline.com.au/privacy/,Medline Australia,39,60,gemini_2.0_flash
https://wolterskluwer.com/en/privacy-cookies,Wolters Kluwer,56,60,gemini_2.0_flash
https://www.gsa.gov/website-information/website-policies#privacy,GSA,39,58,gemini_2.0_flash
https://www.elsevier.com/legal/privacy-policy,Elsevier Legal,50,62,gemini_2.0_flash
https://link.springer.com/privacystatement,SpringerLink,67,60,gemini_2.0_flash
https://www.healthgrades.com/content/privacy-policy,Healthgrades,67,62,gemini_2.0_flash
https://www.dotdashmeredith.com/brands-privacy,Dotdash Meredith,66,52,gemini_2.0_flash
https://pennmedicine.org/for-patients-and-visitors/patient-information/hipaa-and-privacy,Penn Medicine,37,52,gemini_2.0_flash
https://www.goodrx.com/about/privacy-policy,Goodrx,60,62,gemini_2.0_flash
https://www.medicalnewstoday.com/about/privacy-policy,Medical News Today,64,62,gemini_2.0_flash
https://www.hse.ie/eng/privacy-statement/,HSE.ie,50,62,gemini_2.0_flash
https://www.hearst.com/-/us-magazines-privacy-notice,HEARST,64,52,gemini_2.0_flash
https://newsinhealth.nih.gov/privacy,News In Health,17,52,gemini_2.0_flash
https://www.keckmedicine.org/privacy-policy/,Keck Medicine,32,62,gemini_2.0_flash
https://www.medicinenet.com/privacy_policy/info.htm,Medicine Net,62,52,gemini_2.0_flash
